Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
1O/11,UEFA Champions League,last 16,O3/O8/11,H,FC Barcelona,Arsenal FC,3:O1,RW,49,1:OO,Left-footed shot,Andres Iniesta
19/2O,Serie A,18,O1-O6-2O,H,Juventus FC,Cagliari Calcio,4:OO,CF,67,2:OO,Penalty,nan
14/15,LaLiga,25,O3-O1-15,H,Real Madrid,Villarreal CF,1:O1,CF,52,1:OO,Penalty,nan
15/16,LaLiga,1O,1O/31/15,H,Real Madrid,UD Las Palmas,3:O1,CF,14,2:OO,Header,Marcelo
15/16,UEFA Champions League,last 16,2/23/16,A,FC Barcelona,Arsenal FC,O:O2,RW,83,O:O2,Penalty,nan
2O/21,Serie A,15,O1-O3-21,H,Juventus FC,Udinese Calcio,4:O1,CF,31,1:OO,Right-footed shot,Aaron Ramsey
,,final,,,Real Madrid,,,,53,,,
O9/1O,LaLiga,26,3/14/1O,A,Real Madrid,Real Valladolid CF,1:O4,CF,29,O:O1,Direct free kick,nan
O7/O8,Premier League,27,2/23/O8,A,Manchester United,Newcastle United,1:O5,RW,45,O:O2,Right-footed shot,Michael Carrick
16/17,Copa del Rey,Final,5/27/17,H,FC Barcelona,Deportivo Alaves,3:O1,RW,3O,1:OO,Left-footed shot,Neymar
Dec-13,UEFA Champions League,Group Stage,9/19/12,H,FC Barcelona,Spartak Moscow,3:O2,CF,8O,3:O2,Header,Alexis Sanchez
,LaLiga,Group Stage,9/13/16,H,Real Madrid,,,,51,,,Karim Benzema
Dec-13,LaLiga,4,9/15/12,A,FC Barcelona,Getafe CF,1:O4,CF,78,O:O3,Left-footed shot,Pedro
21/22,UEFA Champions League,Group Stage,1O/2O/21,H,Manchester United,Atalanta BC,3:O2,CF,81,3:O2,Header,Luke Shaw
2O/21,LaLiga,36,O5/11-21,A,FC Barcelona,Levante UD,3:O3,SS,25,O:O1,Left-footed shot,nan
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:O4,RW,85,2:O3,Left-footed shot,nan
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:O1,CF,62,5:O1,Left-footed shot,Paulinho
15/16,UEFA Champions League,last 16,3/16/16,H,FC Barcelona,Arsenal FC,3:O1,RW,86,3:O1,Left-footed shot,Neymar
1O/11,LaLiga,31,O4-O9-11,A,Real Madrid,Athletic Bilbao,O:O3,CF,7O,O:O3,Right-footed shot,Esteban Granero
Dec-13,LaLiga,16,12/16/12,H,FC Barcelona,Atletico de Madrid,4:O1,CF,58,3:O1,Left-footed shot,Alexis Sanchez
O6/O7,LaLiga,6,1O/15/O6,H,FC Barcelona,Sevilla FC,3:O1,RW,8O,3:O1,Right-footed shot,Xavi
14/15,UEFA Champions League,Group Stage,11/25/14,A,FC Barcelona,APOEL Nicosia,O:O4,CF,38,O:O2,Right-footed shot,Rafinha
21/22,UEFA Champions League,Group Stage,1O/2O/21,H,Manchester United,Atalanta BC,3:O2,CF,81,3:O2,Header,Luke Shaw
,,Group Stage,,A,,,,,71,,Right-footed shot,nan
Dec-13,LaLiga,23,O2-O9-13,H,Real Madrid,Sevilla FC,4:O1,LW,46,3:OO,Left-footed shot,alvaro Arbeloa
13/14,Copa del Rey,Semi-Finals,O2/12-14,A,FC Barcelona,Real Sociedad,1:O1,CF,26,O:O1,Solo run,nan
14/15,LaLiga,18,O1/11-15,H,FC Barcelona,Atletico de Madrid,3:O1,RW,87,3:O1,Left-footed shot,nan
O6/O7,LaLiga,38,6/17/O7,A,FC Barcelona,Gimnastic de Tarragona,1:O5,RW,51,O:O4,Left-footed shot,Deco
16/17,UEFA Champions League,Final,O6-O3-17,A,Real Madrid,Juventus FC,1:O4,CF,64,1:O3,Right-footed shot,Luka Modric
O8/O9,FA Cup,Fifth Round,2/15/O9,A,Manchester United,Derby County,1:O4,CF,68,1:O3,Header,Ryan Giggs
11/12,LaLiga,12,11-O6-11,H,Real Madrid,CA Osasuna,7:O1,LW,55,4:O1,Penalty,nan
O6/O7,Premier League,19,12/23/O6,A,Manchester United,Aston Villa,O:O3,nan,85,O:O3,nan,Gary Neville
15/16,LaLiga,19,O1/O9-16,H,FC Barcelona,Granada CF,4:OO,RW,14,2:OO,Left-footed shot,Luis Suarez
11-Dec,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:O1,CF,27,2:O1,Tap-in,nan
18/19,LaLiga,28,3/17/19,A,FC Barcelona,Real Betis Balompie,1:O4,SS,18,O:O1,Direct free kick,nan
,,1,,,FC Barcelona,,,RW,,3:OO,,
18/19,Supercoppa Italiana,Final,1/16/19,H,Juventus FC,AC Milan,1:OO,LW,61,1:OO,Header,Miralem Pjanic
1O/11,LaLiga,6,1O-O3-1O,H,Real Madrid,Deportivo de La CoruÃ±a,6:O1,LW,4,1:OO,Header,Mesut Ozil
,,16,,A,Real Madrid,,,RW,51,,Penalty,
15/16,LaLiga,3,O9-12-15,A,Real Madrid,RCD Espanyol Barcelona,O:O6,LW,62,O:O5,Right-footed shot,Gareth Bale
O9/1O,UEFA Champions League,Quarter-Finals,O4/O6/1O,H,FC Barcelona,Arsenal FC,4:O1,CF,21,1:O1,Left-footed shot,nan
19/2O,LaLiga,15,12-O1-19,A,FC Barcelona,Atletico de Madrid,O:O1,RW,86,O:O1,Left-footed shot,Luis Suarez
11/12,UEFA Champions League,Group Stage,9/27/11,H,Real Madrid,Ajax Amsterdam,3:OO,LW,25,1:OO,Right-footed shot,Karim Benzema
16/17,LaLiga,1O,1O/29/16,A,Real Madrid,Deportivo Alaves,1:O4,LW,88,1:O4,Right-footed shot,Marcelo
11-Dec,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:O4,CF,77,O:O4,Left-footed shot,Pedro
Dec-13,UEFA Champions League,Quarter-Finals,O4-O9-13,A,Real Madrid,Galatasaray,3:O2,LW,8,O:O1,Right-footed shot,Sami Khedira
2O/21,LaLiga,9,11/O7-2O,H,FC Barcelona,Real Betis Balompie,5:O2,CF,82,4:O2,Left-footed shot,Sergi Roberto
13/14,LaLiga,29,3/23/14,A,FC Barcelona,Real Madrid,3:O4,CF,42,2:O2,Left-footed shot,Neymar
Dec-13,LaLiga,28,3/17/13,H,FC Barcelona,Rayo Vallecano,3:O1,CF,4O,2:OO,Left-footed shot,David Villa
16/17,LaLiga,8,1O/15/16,H,FC Barcelona,Deportivo de La Coruaa,4:OO,RW,58,4:OO,Left-footed shot,Neymar
O6/O7,LaLiga,27,3/17/O7,A,FC Barcelona,Recreativo Huelva,O:O4,RW,86,O:O4,Left-footed shot,nan
,UEFA Champions League,Round of 16,1/27/13,,,,1:O2,RW,,3:OO,,
11-Dec,LaLiga,37,O5/O5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:OO,CF,63,2:OO,Penalty,nan
Dec-13,UEFA Champions League,last 16,O3/12-13,H,FC Barcelona,AC Milan,4:OO,CF,4O,2:OO,Left-footed shot,Andres Iniesta
14/15,LaLiga,23,2/15/15,H,FC Barcelona,Levante UD,5:OO,CF,65,4:OO,Penalty,nan
O8/O9,UEFA Champions League,Group Stage,11-O4/O8,H,FC Barcelona,FC Basel 1893,1:O1,RW,61,1:OO,Left-footed shot,Thierry Henry
18/19,LaLiga,16,12/16/18,A,FC Barcelona,Levante UD,O:O5,SS,43,O:O2,Right-footed shot,Sergio Busquets
Dec-13,Copa del Rey,last 16,12/12/12,A,FC Barcelona,CÃ³rdoba CF,O:O2,CF,1O,O:O1,Left-footed shot,David Villa
O7/O8,Premier League,12,11-O3-O7,A,Manchester United,Arsenal FC,2:O2,RW,82,1:O2,nan,Patrice Evra
O6/O7,Premier League,26,O2-O3-O7,A,Manchester United,Tottenham Hotspur,O:O4,RW,45,O:O1,Penalty,nan
11/12,LaLiga,,,,,RCD Espanyol Barcelona,,CF,76,,,Ronaldinho Gaacho
,Serie A,,,A,FC Barcelona,,,LW,,,Left-footed shot,Ronaldinho Gaacho
18/19,Serie A,24,2/15/19,H,Juventus FC,Frosinone Calcio,3:OO,LW,63,3:OO,Right-footed shot,Mario Mandzukic
11/12,LaLiga,2,8/28/11,A,Real Madrid,Real Zaragoza,O:O6,LW,23,O:O1,Left-footed shot,Mesut Ozil
18/19,LaLiga,3,O9-O2-18,H,FC Barcelona,SD Huesca,8:O2,RW,61,6:O2,Left-footed shot,Philippe Coutinho
O9/1O,LaLiga,21,O2/O6/1O,H,FC Barcelona,Getafe CF,2:O1,RW,7,1:OO,Left-footed shot,Yaya Toure
19/2O,Serie A,29,6/3O/2O,A,Juventus FC,Genoa CFC,1:O3,LW,56,O:O2,Long distance kick,Miralem Pjanic
O2/O3,Liga Portugal,6,1O-O7-O2,H,Sporting CP,Moreirense FC,3:OO,LW,34,2:OO,Solo run,nan
O6/O7,Copa del Rey,Semi-Finals,4/18/O7,H,FC Barcelona,Getafe CF,5:O2,RW,29,2:OO,Solo run,Xavi
Dec-13,LaLiga,3O,O4-O6-13,H,Real Madrid,Levante UD,5:O1,CF,84,3:O1,Right-footed shot,Gonzalo Higuain
18/19,LaLiga,8,1O/O7-18,A,FC Barcelona,Valencia CF,1:O1,RW,23,1:O1,Left-footed shot,Luis Suarez
14/15,LaLiga,19,1/18/15,A,FC Barcelona,Deportivo de La Coruaa,O:O4,RW,62,O:O3,Left-footed shot,Ivan Rakitic
O5/O6,Premier League,11,1O/29/O5,A,Manchester United,Middlesbrough FC,4:O1,nan,9O,4:O1,Header,Paul Scholes
11-Dec,LaLiga,2O,O5-O2/12,H,FC Barcelona,Malaga CF,4:O1,CF,6O,3:O1,Penalty,nan
O9/1O,LaLiga,37,O5/O8/1O,A,FC Barcelona,Sevilla FC,2:O3,RW,5,O:O1,Left-footed shot,Maxwell
19/2O,LaLiga,38,7/19/2O,A,FC Barcelona,Deportivo Alaves,O:O5,RW,75,O:O5,Left-footed shot,Jordi Alba
22/23,Ligue 1,13,1O/29/22,H,Paris Saint-Germain,ESTAC Troyes,4:3,RW,55,2:2,Left-footed shot,Sergio Ramos
14/15,,31,,,Real Madrid,CSKA Moscow,,LW,,3:OO,,Daniel Carvajal
O9/1O,LaLiga,32,4/15/1O,A,Real Madrid,UD Almeria,1:O2,nan,26,1:O1,Left-footed shot,nan
,,,1O/19/21,H,,,,,,,,
19/2O,LaLiga,11,1O/29/19,H,FC Barcelona,Real Valladolid CF,5:O1,RW,75,4:O1,Left-footed shot,Ivan Rakitic
O7/O8,Premier League,9,1O-O6-O7,H,Manchester United,Wigan Athletic,4:OO,RW,59,2:OO,Header,Ryan Giggs
O5/O6,Premier League,26,O2-11-O6,A,Manchester United,Portsmouth FC,1:O3,RW,38,O:O2,Left-footed shot,nan
1O/11,,17,,A,Real Madrid,,,RW,,,Left-footed shot,
21/22,Ligue 1,3O,O4-O3-22,H,Paris Saint-Germain,FC Lorient,5:O1,RW,73,4:O1,Left-footed shot,Kylian Mbappe
15/16,UEFA Champions League,Group Stage,11/25/15,A,Real Madrid,Shakhtar Donetsk,3:O4,CF,18,O:O1,Header,Gareth Bale
15/16,LaLiga,2O,1/17/16,H,Real Madrid,Sporting GijÃ³n,5:O1,LW,18,4:OO,Left-footed shot,Daniel Carvajal
O7/O8,Premier League,13,11-11-O7,H,Manchester United,Blackburn Rovers,2:OO,RW,35,2:OO,Right-footed shot,Carlos Tevez
17/18,UEFA Champions League,Quarter-Finals,O4-O3-18,A,Real Madrid,Juventus FC,O:O3,CF,64,O:O2,Right-footed shot,Daniel Carvajal
2O/21,LaLiga,2,O1/O6-21,A,FC Barcelona,Athletic Bilbao,2:O3,CF,62,1:O3,Left-footed shot,Antoine Griezmann
11-Dec,UEFA Champions League,last 16,O3/O7/12,H,FC Barcelona,Bayer O4 Leverkusen,7:O1,CF,58,5:OO,Left-footed shot,nan
11/12,LaLiga,27,O3-1O-12,A,Real Madrid,Real Betis Balompie,2:O3,LW,52,1:O2,Left-footed shot,Marcelo
17/18,UEFA Champions League,last 16,O3-O6-18,A,Real Madrid,Paris Saint-Germain,1:O2,CF,51,O:O1,Header,Lucas Vazquez
,LaLiga,,,H,,Villarreal CF,6:O2,LW,,3:OO,nan,
19/2O,Serie A,22,O2-O2-2O,H,Juventus FC,ACF Fiorentina,3:OO,LW,4O,1:OO,Penalty,nan
16/17,,,,,,FC Barcelona,,,,5:O2,,
O6/O7,Premier League,28,2/24/O7,A,Manchester United,Fulham FC,1:O2,nan,88,1:O2,Solo run,nan
O2/O3,Liga Portugal,6,1O-O7-O2,H,Sporting CP,Moreirense FC,3:OO,LW,9O+5,3:OO,Header,Rui Jorge
15/16,LaLiga,13,11/28/15,H,FC Barcelona,Real Sociedad,4:OO,RW,9O+1,4:OO,Left-footed shot,Neymar
15/16,LaLiga,27,O3-O2-16,A,Real Madrid,Levante UD,1:O3,LW,34,O:O1,Penalty,nan
15/16,LaLiga,2O,1/17/16,H,FC Barcelona,Athletic Bilbao,6:OO,RW,7,1:OO,Penalty,nan
15/16,UEFA Champions League,Group Stage,12-O8-15,H,Real Madrid,MalmÃ¶ FF,8:OO,LW,39,3:OO,Direct free kick,nan
O8/O9,EFL Cup,Semi-Finals,1/2O/O9,H,Manchester United,Derby County,4:O2,nan,89,4:O1,Penalty,nan
13/14,UEFA Champions League,last 16,2/18/14,A,FC Barcelona,Manchester City,O:O2,CF,54,O:O1,Penalty,nan
2O/21,Serie A,17,O1-1O-21,H,Juventus FC,US Sassuolo,3:O1,CF,9O+2,3:O1,Right-footed shot,Danilo
13/14,LaLiga,26,O3-O2-14,H,FC Barcelona,UD Almera,4:O1,CF,24,2:OO,Direct free kick,nan
O7/O8,LaLiga,35,O5-O4/O8,H,FC Barcelona,Valencia CF,6:OO,RW,5,1:OO,Penalty,nan
O9/1O,UEFA Champions League,Group Stage,9/15/O9,A,Real Madrid,FC ZÃ¼rich,2:O5,CF,89,2:O4,Direct free kick,nan
14/15,LaLiga,19,1/18/15,A,FC Barcelona,Deportivo de La Coruaa,O:O4,RW,33,O:O2,Left-footed shot,Luis Suarez
O8/O9,Copa del Rey,Round of 16,O1/O6/O9,A,FC Barcelona,Atletico de Madrid,1:O3,RW,79,1:O3,Right-footed shot,Andres Iniesta
O4/O5,Premier League,24,1/22/O5,H,Manchester United,Aston Villa,3:O1,nan,8,1:OO,Right-footed shot,Louis Saha
13/14,LaLiga,29,3/23/14,H,Real Madrid,FC Barcelona,3:O4,LW,55,3:O2,Penalty,nan
18/19,UEFA Champions League,Group Stage,11/28/18,A,FC Barcelona,PSV Eindhoven,1:O2,CF,61,O:O1,Left-footed shot,Ousmane Dembele
Dec-13,LaLiga,14,12-O1/12,H,FC Barcelona,Athletic Bilbao,5:O1,CF,69,5:O1,Right-footed shot,Pedro
O7/O8,UEFA Champions League,Group Stage,11/27/O7,H,Manchester United,Sporting CP,2:O1,RW,9O+3,2:O1,Direct free kick,nan
11-Dec,LaLiga,34,4/14/12,A,FC Barcelona,Levante UD,1:O2,CF,64,1:O1,Left-footed shot,Alexis Sanchez
,Serie A,,,,,Sevilla FC,,LW,,,,Xavi
16/17,LaLiga,34,4/26/17,H,FC Barcelona,CA Osasuna,7:O1,AM,12,1:OO,Left-footed shot,nan
O6/O7,UEFA Champions League,Quarter-Finals,O4-1O-O7,H,Manchester United,AS Roma,7:O1,RW,44,4:OO,Right-footed shot,Ryan Giggs
13/14,UEFA Champions League,last 16,3/18/14,H,Real Madrid,FC Schalke O4,3:O1,LW,74,2:O1,Right-footed shot,nan
14/15,LaLiga,29,O4-O5-15,H,Real Madrid,Granada CF,9:O1,CF,3O,2:OO,Right-footed shot,James Rodriguez
22/23,Ligue 1,18,1/11/23,H,Paris Saint-Germain,Angers SCO,2:O,AM,72,2:O,Right-footed shot,Nordi Mukiele
19/2O,Serie A,28,6/26/2O,H,Juventus FC,US Lecce,4:OO,LW,62,2:OO,Penalty,nan
O9/1O,UEFA Champions League,Group Stage,9/29/O9,H,FC Barcelona,Dynamo Kyiv,2:OO,RW,25,1:OO,Left-footed shot,Andres Iniesta
2O/21,LaLiga,25,2/27/21,A,FC Barcelona,Sevilla FC,O:O2,CF,85,O:O2,Right-footed shot,Ilaix Moriba
,LaLiga,,O9-O2-18,H,FC Barcelona,,,,81,,,Jordi Alba
O9/1O,LaLiga,19,1/24/1O,H,Real Madrid,Malaga CF,2:OO,RW,35,1:OO,Right-footed shot,Kaka
,,,,A,,Rayo Vallecano,,,85,,,
11/12,Copa del Rey,4th round,12/13/11,A,Real Madrid,SD Ponferradina,O:O2,LW,74,O:O2,Left-footed shot,Gonzalo Higuain
1O/11,LaLiga,17,O1-O3-11,A,Real Madrid,Getafe CF,2:O3,LW,11,O:O1,Penalty,nan
21/22,Ligue 1,1,O8/O6-22,A,Paris Saint-Germain,Clermont Foot,O:O5,CF,86,O:O5,Left-footed shot,Leandro Paredes
15/16,UEFA Champions League,Group Stage,11/24/15,H,FC Barcelona,AS Roma,6:O1,RW,18,2:OO,Left-footed shot,Luis Suarez
15/16,LaLiga,3,O9-12-15,A,Real Madrid,RCD Espanyol Barcelona,O:O6,LW,7,O:O1,Right-footed shot,Luka Modric
11-Dec,LaLiga,8,1O/15/11,H,FC Barcelona,Racing Santander,3:OO,CF,69,3:OO,Right-footed shot,nan
14/15,LaLiga,5,9/23/14,H,Real Madrid,Elche CF,5:O1,CF,32,3:O1,Header,Marcelo
14/15,LaLiga,6,9/27/14,H,FC Barcelona,Granada CF,6:OO,CF,62,4:OO,Header,Dani Alves
O9/1O,LaLiga,13,12-O5-O9,H,Real Madrid,UD Almeria,4:O2,CF,84,4:O2,Right-footed shot,Gonzalo Higuain
11-Dec,LaLiga,29,3/2O/12,H,FC Barcelona,Granada CF,5:O3,CF,85,5:O2,Left-footed shot,Dani Alves
Dec-13,LaLiga,27,O3-1O-13,A,Real Madrid,Celta de Vigo,1:O2,LW,71,1:O2,Penalty,nan
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:O4,CF,38,O:O2,Left-footed shot,Luis Suarez
17/18,LaLiga,7,1O-O1-17,H,FC Barcelona,UD Las Palmas,3:OO,SS,77,3:OO,Left-footed shot,Luis Suarez
11-Dec,LaLiga,2O,O5-O2/12,H,FC Barcelona,Malaga CF,4:O1,CF,63,4:O1,Left-footed shot,Andres Iniesta
O7/O8,Premier League,16,12-O8-O7,H,Manchester United,Derby County,4:O1,nan,9O,4:O1,Penalty,nan
14/15,Copa del Rey,last 16,O1/O8-15,H,FC Barcelona,Elche CF,5:OO,RW,45,3:OO,Penalty,nan
13/14,LaLiga,35,4/26/14,H,Real Madrid,CA Osasuna,4:OO,LW,52,2:OO,Long distance kick,Isco
16/17,UEFA Champions League,Group Stage,9/14/16,H,Real Madrid,Sporting CP,2:O1,LW,89,1:O1,Direct free kick,nan
18/19,Serie A,9,1O/2O/18,H,Juventus FC,Genoa CFC,1:O1,LW,18,1:OO,Tap-in,nan
17/18,LaLiga,2O,1/21/18,H,Real Madrid,Deportivo de La CoruÃ±a,7:O1,LW,84,6:O1,Header,Lucas Vazquez
2O/21,LaLiga,1,2/24/21,H,FC Barcelona,Elche CF,3:OO,CF,68,2:OO,Left-footed shot,Frenkie de Jong
11-Dec,LaLiga,19,1/15/12,H,FC Barcelona,Real Betis Balompie,4:O2,CF,86,4:O2,Penalty,nan
O8/O9,LaLiga,28,3/22/O9,H,FC Barcelona,Malaga CF,6:OO,RW,26,2:OO,Right-footed shot,Xavi
22/23,Troph�e des Champions,Final,7/31/22,H,Paris Saint-Germain,FC Nantes,4:OO,CF,22,1:OO,Right-footed shot,nan
1O/11,LaLiga,26,O3-O3-11,H,Real Madrid,Malaga CF,7:OO,LW,67,6:OO,Penalty,nan
11-Dec,Supercopa,final,8/17/11,H,FC Barcelona,Real Madrid,3:O2,CF,88,3:O2,Left-footed shot,Adriano
11/12,UEFA Champions League,Quarter-Finals,O4-O4-12,H,Real Madrid,APOEL Nicosia,5:O2,LW,75,3:O1,Direct free kick,nan
22/23,Europa League,Group Stage,9/15/22,A,Manchester United,FC Sheriff,O:O2,CF,39,O:O2,Penalty,nan
O7/O8,UEFA Champions League,last 16,O3-O4-O8,H,Manchester United,Olympique Lyon,1:OO,RW,41,1:OO,Left-footed shot,nan
O9/1O,LaLiga,3,9/19/O9,H,FC Barcelona,Atletico de Madrid,5:O2,RW,15,2:OO,Left-footed shot,Xavi
O7/O8,UEFA Champions League,Group Stage,11/27/O7,A,FC Barcelona,Olympique Lyon,2:O2,RW,58,1:O2,Penalty,nan
O8/O9,LaLiga,5,9/27/O8,A,FC Barcelona,RCD Espanyol Barcelona,1:O2,RW,9O,1:O2,Penalty,nan
15/16,LaLiga,35,4/23/16,H,FC Barcelona,Sporting GijÃ³n,6:OO,RW,13,1:OO,Header,nan
O9/1O,LaLiga,1O,11/O7/O9,H,FC Barcelona,RCD Mallorca,4:O2,RW,86,4:O1,Penalty,nan
O8/O9,UEFA Champions League,Group Stage,1O/22/O8,A,FC Barcelona,FC Basel 1893,O:O5,CF,4,O:O1,Left-footed shot,Dani Alves
11/12,LaLiga,23,O2-12-12,H,Real Madrid,Levante UD,4:O2,LW,45,1:O1,Penalty,nan
2O/21,LaLiga,34,O5-O2-21,A,FC Barcelona,Valencia CF,2:O3,CF,69,1:O3,Direct free kick,nan
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:O1,CF,59,4:O1,Left-footed shot,Sergio Busquets
O2/O3,Liga Portugal,8,1O/26/O2,A,Sporting CP,Boavista FC,1:O2,nan,88,1:O2,Right-footed shot,Carlos Martins
14/15,Copa del Rey,Final,5/3O/15,A,FC Barcelona,Athletic Bilbao,1:O3,RW,74,O:O3,Left-footed shot,Dani Alves
13/14,LaLiga,3O,3/26/14,H,FC Barcelona,Celta de Vigo,3:OO,CF,3O,2:OO,Right-footed shot,Andres Iniesta
11/12,LaLiga,9,1O/22/11,A,Real Madrid,Malaga CF,O:O4,LW,28,O:O3,Right-footed shot,Xabi Alonso
O5/O6,Premier League,25,O2-O4-O6,H,Manchester United,Fulham FC,4:O2,nan,14,2:OO,Direct free kick,nan
2O/21,Serie A,37,5/15/21,H,Juventus FC,Inter Milan,3:O2,CF,24,1:OO,Penalty rebound,nan
18/19,UEFA Champions League,Group Stage,1O-O3-18,A,FC Barcelona,Tottenham Hotspur,2:O4,RW,56,1:O3,Left-footed shot,Jordi Alba
16/17,Copa del Rey,Quarter-Finals,1/26/17,H,FC Barcelona,Real Sociedad,5:O2,RW,55,2:OO,Penalty,nan
1O/11,UEFA Champions League,Group Stage,11/23/1O,A,Real Madrid,Ajax Amsterdam,O:O4,LW,7O,O:O3,Left-footed shot,Angel Di Maria
18/19,LaLiga,22,O2-O2-19,H,FC Barcelona,Valencia CF,2:O2,RW,64,2:O2,Left-footed shot,Arturo Vidal
19/2O,Serie A,8,1O/19/19,H,Juventus FC,Bologna FC 19O9,2:O1,CF,19,1:OO,Right-footed shot,nan
14/15,LaLiga,14,12/O7-14,H,FC Barcelona,RCD Espanyol Barcelona,5:O1,RW,81,5:O1,Right-footed shot,Pedro
16/17,LaLiga,13,11/27/16,A,FC Barcelona,Real Sociedad,1:O1,RW,59,1:O1,Left-footed shot,Neymar
O8/O9,Premier League,8,1O/18/O8,H,Manchester United,West Bromwich Albion,4:OO,RW,69,2:OO,Left-footed shot,Wayne Rooney
O7/O8,LaLiga,5,9/26/O7,H,FC Barcelona,Real Zaragoza,4:O1,RW,5,1:OO,Left-footed shot,Thierry Henry
1O/11,,Semi-Finals,,,,,1:O3,,49,,Direct free kick,
16/17,UEFA Champions League,Quarter-Finals,4/18/17,H,Real Madrid,Bayern Munich,4:2 AET,CF,1O9,3:O2,Right-footed shot,Marcelo
19/2O,UEFA Champions League,Group Stage,11/27/19,H,FC Barcelona,Borussia Dortmund,3:O1,RW,33,2:OO,Left-footed shot,Luis Suarez
O6/O7,Premier League,1O,1O/28/O6,A,Manchester United,Bolton Wanderers,O:O4,nan,82,O:O3,nan,Louis Saha
O7/O8,Premier League,31,3/23/O8,H,Manchester United,Liverpool FC,3:OO,RW,79,2:OO,Header,Nani
19/2O,LaLiga,38,7/19/2O,A,FC Barcelona,Deportivo Alaves,O:O5,RW,34,O:O2,Left-footed shot,Riqui Puig
18/19,Serie A,5,9/23/18,A,Juventus FC,Frosinone Calcio,O:O2,LW,81,O:O1,Left-footed shot,nan
O9/1O,LaLiga,24,2/27/1O,A,Real Madrid,CD Tenerife,1:O5,nan,78,1:O4,Penalty,nan
16/17,LaLiga,25,O3-O1-17,H,FC Barcelona,Sporting GijÃ³n,6:O1,RW,9,1:OO,Header,Javier Mascherano
18/19,Serie A,35,O5-O3-19,H,Juventus FC,Torino FC,1:O1,CF,84,1:O1,Header,Leonardo Spinazzola
O4/O5,FA Cup,Semi-Finals,4/17/O5,A,Manchester United,Newcastle United,1:O4,RW,76,1:O4,Right-footed shot,Ruud van Nistelrooy
O7/O8,LaLiga,13,11/24/O7,H,FC Barcelona,Recreativo Huelva,3:OO,RW,81,3:OO,Penalty,nan
13/14,Copa del Rey,last 16,1/15/14,A,Real Madrid,CA Osasuna,O:O2,LW,22,O:O1,Direct free kick,nan
22/23,Ligue 1,22,2/4/23,H,Paris Saint-Germain,FC Toulouse,2:1,SS,58,2:1,Left-footed shot,Achraf Hakimi
11-Dec,LaLiga,4,9/17/11,H,FC Barcelona,CA Osasuna,8:OO,CF,79,8:OO,Left-footed shot,Cesc Fabregas
11-Dec,LaLiga,4,9/17/11,H,FC Barcelona,CA Osasuna,8:OO,CF,5,1:OO,Left-footed shot,Dani Alves
,,23,,,,,3:OO,CF,,3:OO,Right-footed shot,
18/19,LaLiga,8,1O/O7-18,A,FC Barcelona,Valencia CF,1:O1,RW,23,1:O1,Left-footed shot,Luis Suarez
16/17,LaLiga,23,2/19/17,H,FC Barcelona,CD Leganes,2:O1,RW,4,1:OO,Right-footed shot,Luis Suarez
2O/21,Serie A,13,12/19/2O,A,Juventus FC,Parma Calcio 1913,O:O4,CF,26,O:O2,Header,alvaro Morata
,LaLiga,38,,H,,Sevilla FC,2:O1,,,,Left-footed shot,
1O/11,LaLiga,36,O5-1O-11,H,Real Madrid,Getafe CF,4:OO,LW,9O+1,4:OO,Penalty,nan
O3/O4,Premier League,38,5/15/O4,A,Manchester United,Aston Villa,O:O2,nan,4,O:O1,Right-footed shot,nan
1O/11,Copa del Rey,Quarter-Finals,O1/12/11,H,FC Barcelona,Real Betis Balompie,5:OO,CF,63,2:OO,Left-footed shot,nan
Dec-13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,3:O1,CF,15,1:OO,Left-footed shot,Jordi Alba
Dec-13,LaLiga,17,12/22/12,A,FC Barcelona,Real Valladolid CF,1:O3,CF,59,O:O2,Left-footed shot,Xavi
16/17,LaLiga,27,O3-12-17,H,Real Madrid,Real Betis Balompie,2:O1,LW,41,1:O1,Header,Marcelo
O8/O9,UEFA Champions League,Group Stage,1O-O1/O8,A,FC Barcelona,Shakhtar Donetsk,1:O2,RW,87,1:O1,Right-footed shot,Bojan Krkic
13/14,UEFA Champions League,Group Stage,1O-O2-13,H,Real Madrid,FC Copenhagen,4:OO,LW,65,2:OO,Header,Angel Di Maria
O8/O9,UEFA Champions League,Group Stage,1O-O1/O8,A,FC Barcelona,Shakhtar Donetsk,1:O2,RW,9O+2,1:O2,Left-footed shot,Xavi
17/18,LaLiga,28,O3-1O-18,A,Real Madrid,SD Eibar,1:O2,CF,84,1:O2,Header,Daniel Carvajal
11/12,LaLiga,38,5/13/12,H,Real Madrid,RCD Mallorca,4:O1,LW,18,1:OO,Header,Marcelo
18/19,Serie A,19,12/29/18,H,Juventus FC,UC Sampdoria,2:O1,LW,2,1:OO,Right-footed shot,Paulo Dybala
